,name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,years_in_the_nba,prior_to_wnba,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick,season_salary,birthdate,hometown,prior_to_nba
0,Adrian Dantley,United States,,All-Time Utah Jazz,4,SF,,2-Way Inside-The-Arc Menace,"6'5""",196,208,94,"6'9""",206,,,91,91,97,95,68,89,98,98,88,88,80,82,90,98,98,82,88,97,65,85,86,87,85,98,98,81,82,82,83,82,74,75,69,80,70,39,86,88,95,74,72,75,45,92,3078,,,,,,gold,gold,,gold,,gold,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Notre Dame
1,Al Horford,United States,,All-Time Atlanta Hawks,15,C,,2-Way 3-Level Scoring Threat,"6'10""",208,250,113,"7'1""",216,18,,85,89,97,96,80,82,96,80,76,53,67,90,69,93,85,78,77,74,80,61,87,86,87,60,84,63,75,50,33,88,70,75,92,63,42,78,92,70,90,64,57,71,25,85,2766,bronze,,,gold,,gold,,bronze,,silver,gold,bronze,silver,bronze,,gold,,,bronze,,,,,,,gold,,,,,,,silver,,gold,silver,,silver,,,,,,Florida
2,Alex English,United States,,All-Time Denver Nuggets,2,SF,PF,2-Way Mid-Range Slasher,"6'7""",201,190,86,"6'11""",211,,,93,91,94,94,75,86,98,98,88,88,78,82,88,98,98,83,88,98,75,88,70,88,88,95,98,79,75,86,80,75,79,75,80,82,63,50,84,83,85,78,77,79,68,93,3099,,,,,,gold,gold,,gold,,gold,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Carolina
3,Allan Houston,United States,,All-Time New York Knicks,20,SG,SF,2-Way Sharpshooter,"6'6""",198,200,90,"6'9""",206,,,89,94,90,95,93,92,98,95,82,84,75,54,72,98,98,93,62,75,35,45,45,82,64,52,98,77,79,83,81,79,62,73,64,79,65,59,82,84,80,61,59,62,83,89,2823,gold,gold,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,Tennessee
4,Allen Iverson,United States,,All-Time Denver Nuggets,3,SG,PG,2-Way 3-Level Combo Guard,"6'0""",183,165,74,"6'3""",191,,,90,89,93,91,77,81,98,95,88,93,90,65,93,95,97,85,63,92,25,65,25,70,33,94,98,88,84,98,93,84,80,66,30,82,88,37,80,82,65,52,45,59,83,90,2835,,,gold,,bronze,,gold,,gold,,silver,,,,,,gold,gold,,,gold,gold,bronze,,,,gold,,,gold,,,,silver,,,,,gold,,,,,Georgetown
5,Allen Iverson,United States,,All-Time Philadelphia 76ers,3,SG,PG,All-Around Star,"6'0""",183,165,74,"6'3""",191,,,96,90,90,94,84,87,85,98,93,98,98,65,97,98,97,98,63,98,25,65,25,60,33,97,98,91,93,97,98,90,76,74,30,88,96,37,82,96,91,40,34,45,85,97,2925,,,hof,,bronze,,gold,,hof,,gold,,,,,,hof,gold,gold,gold,gold,hof,gold,gold,gold,,gold,,,gold,,,,silver,,,,,gold,,,,,Georgetown
6,Alonzo Mourning,United States,,All-Time Charlotte Hornets,33,C,PF,2-Way Inside-The-Arc Threat,"6'10""",208,244,110,"7'7""",231,,,89,82,88,77,62,78,96,90,83,65,62,96,82,98,95,80,84,80,85,70,84,84,91,84,92,41,33,50,30,64,29,83,90,62,74,97,92,78,85,86,84,88,25,89,2809,,,,gold,,gold,,,,gold,gold,gold,gold,gold,,gold,,,gold,,,,,,,gold,,,,,,,gold,,gold,gold,gold,gold,,gold,,,,Georgetown
7,Alonzo Mourning,United States,,All-Time Miami Heat,33,C,PF,Paint Beast,"6'10""",208,244,110,"7'7""",231,,,94,85,94,82,62,78,96,97,83,65,62,96,82,98,95,80,91,80,98,70,98,94,96,96,92,41,33,50,30,64,29,88,97,62,74,97,98,90,98,94,92,96,45,94,2960,,,,gold,,gold,,,,gold,gold,gold,gold,gold,,gold,,,gold,,,,,,,gold,,,,,,,hof,,hof,gold,gold,gold,,gold,,,,Georgetown
8,Alvan Adams,United States,,All-Time Phoenix Suns,33,C,PF,2-Way Inside-The-Arc Menace,"6'9""",206,210,95,"7'1""",216,,,85,84,94,87,52,83,90,95,74,63,42,88,80,95,74,76,81,70,85,65,82,85,89,85,88,49,35,35,38,78,59,71,83,42,56,81,82,69,85,89,89,89,35,85,2709,,,,gold,,gold,,,,gold,,gold,gold,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma
9,Amar’e Stoudemire,United States,,All-Time New York Knicks,1,PF,C,3-Level Scoring Board Hunter,"6'10""",208,245,110,"7'2""",218,,,89,86,88,90,75,77,98,90,81,78,44,82,95,90,85,90,89,77,95,95,88,90,90,79,98,54,52,54,69,60,34,64,77,44,60,70,75,60,60,78,79,77,83,89,2837,,,,gold,,gold,,,,,gold,bronze,gold,bronze,gold,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cypress Creek High School
