,name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,season_salary,years_in_the_nba,birthdate,hometown,prior_to_nba,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick
0,Aaron Gordon,United States,,Denver Nuggets,32,PF,,2-Way 3-Level Scorer,"6'8""",203,235,106,"7'0""",213,,11,"September 16, 1995","San Jose, California",Arizona,82,84,90,89,86,81,70,90,85,71,86,72,92,95,95,84,80,86,85,94,58,60,74,85,95,63,65,62,66,60,60,70,80,86,33,45,84,82,80,56,55,56,65,84,2801,,,,silver,,silver,,,bronze,silver,gold,,,,gold,bronze,,,,,,,silver,,,,,bronze,,,silver,bronze,,,,,,,,gold
1,Aaron Holiday,United States,,Houston Rockets,0,PG,SG,Sharpshooting Shot Creator,"6'0""",183,185,83,"6'8""",203,,7,"September 30, 1996","Ruston, Louisiana",UCLA,75,85,92,89,83,83,85,75,73,76,77,49,56,85,85,84,48,70,25,60,25,45,32,47,80,75,82,86,76,82,51,54,34,68,43,50,67,69,45,40,33,47,70,76,2382,,,,silver,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,
2,Aaron Nesmith,United States,,Indiana Pacers,23,SF,PF,3 & D Wing,"6'5""",196,215,97,"6'10""",208,,5,"October 16, 1999","Charleston, South Carolina",Vanderbilt Commodores,81,81,96,79,86,90,60,75,77,78,76,52,79,87,85,81,62,77,35,55,53,57,57,78,85,60,69,70,64,65,32,65,72,76,43,55,76,57,75,52,43,60,60,81,2519,silver,,,gold,,,,,,,bronze,,,,,,,,,,,,bronze,,,,,,,,silver,,,,,,,,silver,bronze
3,Aaron Wiggins,United States,,Oklahoma City Thunder,21,PF,SF,Inside-Out Scoring Threat,"6'5""",196,190,86,"6'10""",208,,4,"January 2, 1999","Greensboro, North Carolina",Maryland,79,82,80,73,82,83,80,95,73,84,84,45,72,80,65,80,63,80,35,70,52,57,54,82,76,64,68,70,75,68,40,53,48,59,49,51,57,52,55,54,51,56,75,80,2463,silver,,,gold,bronze,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,
4,Ace Bailey,United States,,Utah Jazz,19,SF,SG,,"6'9""",206,200,90,,,,0,"August 13, 2006","Chattanooga, Tennessee",Rutgers,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Adem Bona,Nigeria,Turkey,Philadelphia 76ers,30,C,,Interior Threat,"6'10""",208,245,110,"7'0""",213,,1,"March 28, 2003","Lagos, Nigeria",UCLA,77,59,88,37,27,68,75,60,82,82,68,73,89,84,97,80,64,72,80,85,59,42,59,40,74,44,40,52,57,40,29,60,70,37,43,91,72,50,60,76,76,76,70,79,2381,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,silver,,,gold
6,AJ Green,United States,,Milwaukee Bucks,20,SG,SF,Catch & Shoot Ace,"6'4""",193,190,86,"6'7""",201,,3,"September 27, 1999","Cedar Falls, Iowa",Northern Iowa,76,76,60,80,86,86,70,75,70,69,69,42,75,80,75,80,49,71,40,40,34,34,48,45,80,61,61,70,68,68,36,47,40,63,38,35,50,60,45,40,31,48,70,80,2202,silver,bronze,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,
7,AJ Johnson,United States,,Washington Wizards,5,SG,PG,Inside the Arc Shot Creator,"6'5""",196,160,72,"6'9""",206,,1,"December 1, 2004","Woodland Hills, California",SoCal Academy,75,74,84,74,72,75,75,65,73,83,79,39,76,80,75,80,51,82,30,80,30,30,30,44,80,75,70,86,79,72,67,43,49,56,37,37,48,47,30,40,32,47,90,80,2290,,,,,,,bronze,,bronze,,,,,,,,,,bronze,,,silver,,,bronze,,,,,,,,,,,,,,,bronze
8,A.J. Lawson,Canada,,Toronto Raptors,00,SG,SF,Catch & Shoot Threat,"6'6""",198,179,81,"6'7""",201,,4,"July 15, 2000","Toronto, Canada",South Carolina,75,74,75,68,76,66,85,75,73,74,79,34,80,85,80,80,60,68,45,75,52,52,55,54,75,61,69,69,69,64,34,54,48,60,41,53,60,65,50,54,46,62,98,77,2398,,,,bronze,,,,,bronze,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,bronze
9,Ajay Mitchell,Belgium,United States,Oklahoma City Thunder,25,SG,PG,Perimeter Threat,"6'5""",196,190,86,"6'9""",206,,1,"June 25, 2002","Ans, Belgium",UC Santa Barbara,76,84,96,78,86,85,80,80,75,83,80,53,65,87,75,80,52,75,35,70,30,37,38,50,80,72,74,82,79,75,52,52,43,64,63,37,57,62,40,45,41,48,70,82,2412,,,,bronze,,,bronze,,bronze,,,,,,,,,,bronze,,,,,bronze,,,,,,,,,,,,,,,,
10,Alex Caruso,United States,,Oklahoma City Thunder,9,SG,SF,Wing Stopper,"6'5""",196,186,84,"6'6""",198,,9,"February 28, 1994","College Station, Texas",Texas A&M,80,69,84,82,78,80,50,40,76,82,94,31,72,85,85,81,51,65,35,75,30,43,29,40,90,75,75,78,82,75,64,84,51,93,97,70,90,92,95,50,45,55,50,82,2545,,,,,,bronze,,,,,,,,,,,,bronze,,,,,bronze,,,gold,gold,,silver,bronze,silver,gold,,gold,,,,,,gold
11,Alexandre Sarr,France,,Washington Wizards,20,PF,C,Slashing Stretch Five,"7'1""",216,205,92,"7'5""",226,,1,"April 26, 2005","Bordeaux, France","Perth Wildcats (NBL, Australia)",81,76,73,71,76,65,85,85,76,73,72,67,77,80,85,80,75,82,90,85,60,62,64,78,80,64,65,73,66,66,50,72,75,72,40,85,75,82,75,65,61,69,98,89,2731,,,,bronze,,silver,,,,bronze,,,,,bronze,bronze,,,,,,,,,,,,bronze,,,,,,,,,,,,bronze
12,Alperen Sengun,Turkey,,Houston Rockets,28,C,,Inside The Arc Board Hunter,"6'11""",211,243,109,"7'2""",218,,4,"July 25, 2002","Giresun, Turkey",Turkey,87,81,86,84,69,69,80,95,76,52,64,86,69,88,90,80,83,82,70,80,87,87,89,74,95,69,79,62,48,84,72,66,69,63,49,62,69,85,65,81,77,84,98,89,2831,,,,,,,,gold,bronze,silver,,silver,silver,silver,bronze,,,,,gold,,,bronze,,bronze,,,,,,,,,,,bronze,silver,bronze,,
